Date,Open,High,Low,Close,Volume
1/3/2000,370,390,370,381.65,3318
1/4/2000,380,392,375,385.55,4818
1/5/2000,371.5,390,371.5,383,2628
1/6/2000,384.9,384.9,374.5,377.5,3354
1/7/2000,376,390,370,385.7,9589
1/10/2000,415,416.6,409,415,60313
1/11/2000,415,423,409,415.2,65570
1/12/2000,420,448.45,410.05,417.65,24854
1/13/2000,423,429.9,413.05,418.7,9169
1/14/2000,410,414.9,408,410,64603
1/17/2000,420,421,401,411.35,7537
1/18/2000,410,419,410,414.05,7656
1/19/2000,425,430,417.5,419.35,28800
1/20/2000,425,428.9,412,420.55,54282
1/21/2000,422,445,421.25,425.85,48388
1/24/2000,434,459.95,434,458.4,55504
1/25/2000,470,495.05,467,494.7,45422
1/27/2000,530,530,460,472.95,33156
1/28/2000,470,483,465,480.65,48664
1/31/2000,499,499,460,460.5,35334
2/1/2000,462,468,459,460.3,29884
2/2/2000,475,475,459,460.1,14142
2/3/2000,462,463,455,456.1,24627
2/4/2000,460,465,455,456.7,71643
2/7/2000,460,460,440,453.65,6906
2/8/2000,440,481,440,459.85,53864
2/9/2000,469,469,447.5,457.15,2794
2/10/2000,460,460,440,440.9,13668
2/11/2000,437,450,431.5,443.35,5349
2/14/2000,440,450,414.9,431.75,3624
2/15/2000,445,445,400.1,416.65,8167
2/16/2000,427,427,390,399.1,5557
2/17/2000,375,408,375,392.6,17561
2/18/2000,409,410,391,402.45,7253
2/21/2000,402,410,395.25,402.75,6568
2/22/2000,401,404,400,400.45,8046
2/23/2000,396,410,395,406.85,2776
2/24/2000,400,405,398,400.5,1872
2/25/2000,392,404.8,380,392.95,1010
2/28/2000,375,402.5,375,400.45,2057
2/29/2000,395,402.5,369,376.4,2964
3/1/2000,397,400,364,399.7,1383
3/2/2000,400,412,388.1,390,3829
3/3/2000,370,421.2,370,404.8,10700
3/6/2000,400,408,390,398.05,5122
3/7/2000,385.3,390,375,376.55,3976
3/8/2000,388,400,380,399.95,22425
3/9/2000,409.9,431,391,423.5,8150
3/10/2000,419,419,392.25,402.2,2124
3/13/2000,400,405,396,399.95,74011
3/14/2000,394.05,415,391,400.15,21141
3/15/2000,400,419.95,400,407.45,3251
3/16/2000,415,415,405,410,58313
3/21/2000,407,425,407,418.05,6582
3/22/2000,444,449,420,422.5,5524
3/23/2000,410,425,410,416.15,3406
3/24/2000,415,419.8,412,415.35,3656
3/27/2000,423,423,411.1,415.6,5379
3/28/2000,413,423.95,413,417,4554
3/29/2000,415.25,422,415,415,1159
3/30/2000,415,448.2,410,437.75,7824
3/31/2000,426,431,416,423.2,5074
4/3/2000,440,440,412,413.6,18297
4/4/2000,401,417,400,413.1,19926
4/5/2000,410,416.9,407,411.2,7122
4/6/2000,412,413,405.05,409.55,8585
4/7/2000,413,425,409,415.4,5440
4/10/2000,415,424.9,411.25,413.9,6751
4/11/2000,411,447,411,434.8,11291
4/12/2000,427.8,430,420,424.95,6442
4/13/2000,410,435,409,419.15,1333
4/17/2000,405,430,387,419.8,7497
4/18/2000,415,425,410,418.95,7120
4/19/2000,418,420,395,415,3392
4/20/2000,406.3,427,396,415,25817
4/24/2000,421,422,410.25,415.3,1302
4/25/2000,402,425,400.1,408.5,6090
4/26/2000,405,416,405,413.3,1557
4/27/2000,410,414.9,407,412.3,1096
4/28/2000,405.5,414,405,407,1100
5/2/2000,405,421.8,394,407.2,4998
5/3/2000,388,399.5,380,388.85,4855
5/4/2000,399,401,391,391.4,1934
5/5/2000,397,401.5,393.5,394.95,6556
5/8/2000,400,402,391.15,393.1,3930
5/9/2000,392.05,400,390,395.15,3731
5/10/2000,398,399,391,391.6,2336
5/11/2000,389,390,385.25,388.25,1047
5/12/2000,389,389,375,378.1,3211
5/15/2000,378,378,357,373.1,3032
5/16/2000,370,384,370,377.3,2918
5/17/2000,385,385,370.05,373.85,1378
5/18/2000,370,376,370,371,388
5/19/2000,371,377.9,361,366.5,3421
5/22/2000,357,369,350,358.45,1655
5/23/2000,360,401.5,359,397,20792
5/24/2000,414.7,442.95,400,428.25,52427
5/25/2000,428,438,420,421.95,23623
5/26/2000,419,427,415.1,424.1,10887
5/29/2000,434,434,423.8,428.3,19066
5/30/2000,426,429.7,411.5,420.6,19755
5/31/2000,420,445.95,420,426.15,29768
6/1/2000,427.9,428,420,426.25,73556
6/2/2000,425,432.8,420.1,422.35,8907
6/5/2000,423.9,432,415,418.55,10094
6/6/2000,415,424.5,408.05,419.9,12675
6/7/2000,424.9,424.9,415,416.6,4327
6/8/2000,424.9,424.9,414.5,415.35,2049
6/9/2000,416.5,416.5,410,413.2,1932
6/12/2000,415,415,405,405.85,2363
6/13/2000,409.5,414.8,390,408,2631
6/14/2000,414,423.5,406.35,408.55,3134
6/15/2000,408,411,405.5,409.65,1538
6/16/2000,407,410,405,408.35,1658
6/19/2000,405.05,412,405,405.85,7970
6/20/2000,405,409.95,405,405.55,4748
6/21/2000,410,410,403,405.1,1764
6/22/2000,405,408.9,403,405.5,3237
6/23/2000,403,406.9,401,405.5,1513
6/26/2000,404.75,408.7,398.15,403,3547
6/27/2000,401.05,408,398,400.05,3378
6/28/2000,399.1,404.95,399,403.8,1076
6/29/2000,407.9,407.9,402.05,404.6,1713
6/30/2000,402,404.95,400,404.3,1128
7/3/2000,406,408.9,401.05,403.45,1551
7/4/2000,402,406,400,400.5,3849
7/5/2000,403,409.9,395,399.5,3346
7/6/2000,403.95,403.95,400,400.3,710
7/7/2000,404,404,396.1,400.3,3570
7/10/2000,405,409,400,400.7,2956
7/11/2000,405,407,400.05,401.65,4565
7/12/2000,410,418,405,409.65,14020
7/13/2000,421,437,415,430.45,29178
7/14/2000,436,452,433,445.7,34103
7/17/2000,454,454,426,438.25,10491
7/18/2000,434.25,439.8,430.1,435.25,11930
7/19/2000,424.1,439.5,424,429.15,3019
7/20/2000,423.5,435,423,433.7,2856
7/21/2000,435,438.85,414,435.7,7154
7/24/2000,425,435,412,431.85,9806
7/25/2000,415,452.5,415,435.25,20036
7/26/2000,444,455,438.05,444.5,16752
7/27/2000,444,449.5,440,440.1,8977
7/28/2000,448.4,448.4,430,436.9,3786
7/31/2000,443,460,443,448.85,24372
8/1/2000,450,474.8,445,464,25371
8/2/2000,272,279,268.5,272.1,18463
8/3/2000,272,272,262,263.4,8818
8/4/2000,257,274,257,272.1,19530
8/7/2000,273.5,275,268,270.1,10664
8/8/2000,274.9,274.95,268.1,271.8,5080
8/9/2000,270.05,273.9,268.05,270.7,3588
8/10/2000,269.05,271,268.1,268.65,4348
8/11/2000,270.1,273,268.75,271.45,4811
8/14/2000,271.95,277.5,269.5,277.25,17233
8/16/2000,274.5,275.5,268,271.7,8860
8/17/2000,274.5,274.5,267,267.8,1766
8/18/2000,265.3,271,265.3,270.2,1579
8/21/2000,267,272.95,267,270.95,50979
8/22/2000,269.1,271.5,268.05,269.8,2714
8/23/2000,266,269,254,257.7,11731
8/24/2000,261,263,258.35,261.7,2528
8/25/2000,257.5,263.5,257.5,262,5099
8/28/2000,258,262,258,260,1869
8/29/2000,261.8,261.8,242.6,253.8,4670
8/30/2000,260,262,255,259.65,1817
8/31/2000,255.2,261.4,255.2,259.65,1220
9/4/2000,265,265,250,259.15,3543
9/5/2000,252,264,251,257.05,2595
9/6/2000,261,261.75,255,258.9,2602
9/7/2000,259.95,265,258,258.6,8182
9/8/2000,262,263,255,256.65,4555
9/11/2000,257.1,260,252,255.15,6890
9/12/2000,259,260,250.05,251.05,4132
9/13/2000,252,256.5,252,252.35,3616
9/14/2000,253.9,255,245,246.75,8343
9/15/2000,249.65,251,243,247.3,4460
9/18/2000,252,259.95,230,241.35,3367
9/19/2000,250,250,235.25,239.45,12375
9/20/2000,250,250,222,236.7,6779
9/21/2000,232.6,246,230,239.65,7625
9/22/2000,225,237,221.05,234.55,4982
9/25/2000,220,238,220,229.6,5968
9/26/2000,232,234.45,227,229.95,9584
9/27/2000,239.85,239.9,228,232.9,2571
9/28/2000,236.45,236.45,225,226.55,4932
9/29/2000,230,230,220,221.75,5586
10/3/2000,221,225,218,220.8,5398
10/4/2000,210,227.9,204,224.75,2464
10/5/2000,225,226,223.05,223.15,2028
10/6/2000,224,224,207.55,210.75,23631
10/9/2000,212.5,215.75,210,213.15,3737
10/10/2000,210,230,209,221.85,8990
10/11/2000,215.05,225,211.15,220.55,8113
10/12/2000,219,223,216,221.3,4617
10/13/2000,226,226,207,217.05,28397
10/16/2000,225.5,230,215.05,225.9,13863
10/17/2000,224.9,239.85,212,228.65,33319
10/18/2000,220.05,226,214,225.05,62595
10/19/2000,215,240,215,229.15,50867
10/20/2000,234.9,234.9,228,229.95,12494
10/23/2000,230,234,227.5,229.45,12555
10/24/2000,234,235,226.3,232.05,14022
10/25/2000,232.65,236,232.05,233.35,12886
10/26/2000,238.5,238.5,232.25,235.8,3651
10/27/2000,233.05,239.85,232.95,236.8,9795
10/30/2000,236,239.85,235,235.55,8822
10/31/2000,234.5,250,234.5,248.5,24676
11/1/2000,247.95,248.5,232.1,244.1,8367
11/2/2000,238,245,238,243.55,4604
11/3/2000,242.2,247.5,240.55,243.9,5053
11/6/2000,246,250,238.1,239.55,10146
11/7/2000,237.55,240.95,236,236.75,8061
11/8/2000,235,243,232.5,234.95,10086
11/9/2000,234.5,237.45,227,228.55,36546
11/10/2000,231,238.75,210.6,221.85,62335
11/13/2000,212,221,212,214.65,19401
11/14/2000,210,220.75,210,219.6,71142
11/15/2000,220.5,227,220,223.5,26166
11/16/2000,225.35,225.5,223.1,224.4,4867
11/17/2000,214.05,229.95,214.05,226,5181
11/20/2000,225,230.15,225,228.5,7724
11/21/2000,228.75,228.75,223.6,227.8,9982
11/22/2000,223.25,233,223.25,231.75,10482
11/23/2000,230,231.9,216,226.8,13121
11/24/2000,228,230.8,225,226.65,14090
11/27/2000,229.8,232,226.1,230.55,10613
11/28/2000,234.9,259,228.3,253,45162
11/29/2000,253,262,248.6,251.75,36038
11/30/2000,257,257,248.5,253.35,20778
12/1/2000,251,254.5,247.1,248.8,8411
12/4/2000,253.45,253.45,247.05,249.65,34994
12/5/2000,252,256,247.25,254.25,25212
12/6/2000,240,256.8,240,252.55,19233
12/7/2000,248.2,252,248,251.95,9168
12/8/2000,249.05,259,249.05,258.1,67361
12/11/2000,260,265.25,260,263.4,46655
12/12/2000,263,273.95,263,270.65,84861
12/13/2000,271.05,282,270,278.75,27071
12/14/2000,281,286.7,274,276.85,18599
12/15/2000,284,284,271.2,273.05,19866
12/18/2000,255,283.8,255,278.05,22342
12/19/2000,279.9,279.9,273,274.75,43937
12/20/2000,277.7,277.7,272,273.65,6019
12/21/2000,273.45,273.45,262.2,265.3,8111
12/22/2000,279.95,279.95,263,271.4,14672
12/26/2000,269.95,273.95,265.1,270.35,15159
12/27/2000,270,273.95,252.15,271.25,12448
12/28/2000,270.4,283.9,270.4,278.55,10747
12/29/2000,284.7,284.7,275,276.65,45667
1/1/2001,274.05,282.85,272,272.2,6055
1/2/2001,270.05,277.85,265,273.7,15938
1/3/2001,273.05,278,271,275.05,43725
1/4/2001,280,294.9,273,275.15,20165
1/5/2001,270,275.95,265,268.85,17364
1/8/2001,272.35,277.75,268,270.5,30691
1/9/2001,274.95,274.95,268.25,269.65,15598
1/10/2001,270,271.9,264,265.35,13273
1/11/2001,261.35,270,258,269,24398
1/12/2001,268,275,264.05,265.1,14409
1/15/2001,249,267.9,249,265.15,7489
1/16/2001,262.4,265.7,261.25,263.75,11773
1/17/2001,256.5,266.5,256.5,263.85,10197
1/18/2001,262.1,266.75,262.1,263.3,8391
1/19/2001,268.95,270,258.05,267.7,28931
1/22/2001,263.05,273,262,267.5,86890
1/23/2001,263,267.95,260,263,70468
1/24/2001,262.6,270.95,262.6,269.9,26018
1/25/2001,270,270,261.9,263.4,86749
1/29/2001,258.5,263,245,260.35,57485
1/30/2001,251,263.95,251,262.35,20984
1/31/2001,263,268.85,263,265.1,16900
2/1/2001,254,264.9,254,260.3,17194
2/2/2001,265.75,265.75,256.1,262.3,19814
2/5/2001,267.9,267.9,261,262.15,19491
2/6/2001,257,275,250.1,272.1,32685
2/7/2001,265.15,275,265.15,271.7,10253
2/8/2001,274.5,276,271,275.15,21052
2/9/2001,272.5,285.3,272.5,275.15,49335
2/12/2001,279.9,283.9,275,280.1,47329
2/13/2001,277,281,272.5,274.05,40260
2/14/2001,271.05,276.8,271.05,274.2,53936
2/15/2001,280,280,272,272.4,16805
2/16/2001,269.1,274.15,267.1,269.8,10901
2/19/2001,267.1,268.85,261,265.7,20857
2/20/2001,266,268.8,265,265.65,12265
2/21/2001,255.1,275,255.1,265.3,10091
2/22/2001,270.45,270.45,263.4,267,124366
2/23/2001,268.65,268.65,261.65,262,12558
2/26/2001,265,268.5,261,266.9,12305
2/27/2001,265.1,269.95,260,265.3,180633
2/28/2001,265,271,263.3,266,37077
3/1/2001,248.45,270.6,248.45,267.6,16884
3/2/2001,274.9,274.9,265.1,268.25,162495
3/5/2001,272,276,265,265.9,19284
3/7/2001,270,270,262.05,264.1,27737
3/8/2001,274.9,277,262,263.65,15429
3/9/2001,261.25,270,255,261.45,249683
3/12/2001,252,266,252,264.1,28225
3/13/2001,251.1,267.5,243,259.8,29457
3/14/2001,252,260,248.05,254.65,19870
3/15/2001,258,258,245.25,250.4,5485
3/16/2001,245.1,248.65,237,240.75,4776
3/19/2001,231.15,249,231.15,246.5,6529
3/20/2001,247.5,247.5,238,243.85,8612
3/21/2001,240,247.4,234,244.85,26036
3/22/2001,245.5,250,245.5,248.1,2560
3/23/2001,248,248,243,247.65,5611
3/26/2001,245,249,242,245.3,1220
3/27/2001,245,247.5,235,242.45,49477
3/28/2001,244.45,247,242,245.35,61252
3/29/2001,245.75,258,242.55,247.2,6612
3/30/2001,245.2,248.65,244,245.45,3395
4/2/2001,241,254.9,235.25,242.5,9490
4/3/2001,244.9,246.5,241.25,244.35,1535
4/4/2001,245,245,240.15,243.9,8029
4/6/2001,247,248,243.35,245.9,2313
4/9/2001,245,252.75,245,250,4513
4/10/2001,251,252.8,249,249.8,2589
4/11/2001,250,250,245,247.3,1874
4/12/2001,243.2,255,233.25,250.45,279742
4/16/2001,254,254.9,247,253.75,6743
4/17/2001,254.9,265,248,262.75,14503
4/18/2001,265,265,255.75,259.9,7406
4/19/2001,255,269,255,266.35,9710
4/20/2001,271,271,260.65,268.7,9017
4/23/2001,262.6,266.95,260,263.45,3975
4/24/2001,263.15,263.15,260.1,260.9,2982
4/25/2001,262,263,258.15,260.5,1513
4/26/2001,260,263,258.05,258.75,1428
4/27/2001,250.5,258,250.5,255.4,1874
4/30/2001,267,267,253.7,261.2,13925
5/2/2001,256.05,266,256.05,265,67946
5/3/2001,264.9,264.9,260.5,261.95,3255
5/4/2001,261.25,262.65,261.25,261.75,2920
5/7/2001,262,263.2,260.05,263,1900
5/8/2001,264.8,280,264,274.85,24259
5/9/2001,272,273.9,256,266.95,3536
5/10/2001,266,267,266,266.5,1360
5/11/2001,266.1,266.1,258,259.85,2284
5/14/2001,258.05,260,257.15,258.9,672
5/15/2001,267,275,251.15,253.7,4043
5/16/2001,259.95,260.9,253,254.55,4200
5/17/2001,258.85,259,251,253.95,4862
5/18/2001,259.5,259.5,251,252.05,7050
5/21/2001,253.7,260,247,250.4,7743
5/22/2001,250,251.75,244.1,245.5,8057
5/23/2001,250,252.5,249,250.9,5082
5/24/2001,251.7,251.7,247,249.9,6891
5/25/2001,248.75,250,245.5,249.95,13693
5/28/2001,251.6,251.7,246.5,249.45,4856
5/29/2001,250.9,251,245.2,249.65,11946
5/30/2001,258.95,258.95,249.5,252,4893
5/31/2001,254,255,249.05,253.45,3314
6/1/2001,257.45,257.45,252.15,253.6,2326
6/4/2001,252.15,254.5,250,253.25,3300
6/5/2001,252,254,247,249.35,4384
6/6/2001,250,255,248,251.65,3328
6/7/2001,250,251.95,243.55,245.8,5047
6/8/2001,247.9,250,245.1,246.7,7967
6/11/2001,249,255,241.1,251.3,27090
6/12/2001,254.95,254.95,247,249.4,8049
6/13/2001,254.95,254.95,249.15,250.75,12801
6/14/2001,253,253,250,251.25,13733
6/15/2001,247.1,261.9,247.1,254,25163
6/18/2001,256.95,256.95,247,247.7,16229
6/19/2001,246.05,250,246.05,249.6,42993
6/20/2001,249.5,250,247.55,249.65,8416
6/21/2001,244.2,251,244.2,249.95,5330
6/22/2001,250.6,253.9,250,250.65,4998
6/25/2001,248.5,252.9,247,250.3,5703
6/26/2001,246.1,250,246.1,249.8,10842
6/27/2001,268.95,268.95,248.5,249.5,2128
6/28/2001,248.1,251,243.2,250.1,3709
6/29/2001,244,250.95,240,250.05,24331
7/2/2001,245.1,249,243.5,245.85,5102
7/3/2001,245,250,245,249.65,4250
7/4/2001,235,270,235,249.9,12107
7/5/2001,237.5,249.9,237.5,246.65,12965
7/6/2001,250,250,245,245.25,3099
7/9/2001,240,250,240,249.85,4971
7/10/2001,245.05,250,245.05,249.85,4606
7/11/2001,249.9,249.9,245.8,249.7,23240
7/12/2001,246.1,249.25,245.25,246.45,3454
7/13/2001,242.4,249,242.4,247.6,3532
7/16/2001,245.1,250,245.1,249.65,4198
7/17/2001,248.5,249.9,247,249.6,596
7/18/2001,247.5,250,247.15,250,22572
7/19/2001,249.95,249.95,246.1,248.45,1493
7/20/2001,247,249.4,245.1,247.65,1329
7/23/2001,245.75,246.5,245.15,246.45,52
7/24/2001,250,255,245,249.4,3634
7/25/2001,250,255,248,248.15,10613
7/26/2001,253.45,253.45,248,249.9,11284
7/27/2001,254.95,255,250.35,252.8,9989
7/30/2001,255,259.25,254,257.35,4406
7/31/2001,260,260,254,255.15,2830
8/1/2001,250,257.95,250,255,2536
8/2/2001,258,260,256.55,259.95,5193
8/3/2001,259.25,263,259.25,262.45,3111
8/6/2001,250.5,259.65,250.5,258.25,5273
8/7/2001,256,260,255.4,259.6,3492
8/8/2001,259,259.45,255.8,257.25,2487
8/9/2001,257,257.65,255,255.05,2076
8/10/2001,258,258,255,255.55,5145
8/13/2001,252.05,259.75,252.05,258.35,3329
8/14/2001,258.85,264.95,258.3,263.45,8128
8/16/2001,259,261,258,259.95,5590
8/17/2001,260.5,261.75,250.6,256.25,10635
8/20/2001,259,261,255.5,260.25,6162
8/21/2001,259.1,259.85,257.5,259.2,1445
8/23/2001,246,262.25,246,261.85,2069
8/24/2001,258.55,261,257.5,258.05,2377
8/27/2001,257.5,258.8,255.4,258.2,3189
8/28/2001,255.45,259.9,255.45,258.05,2385
8/29/2001,258,261.5,251.05,260.5,4052
8/30/2001,261.5,262,259,260.35,10810
8/31/2001,261.95,265,260.05,264.5,10342
9/3/2001,265.1,265.1,260.9,264.25,5885
9/4/2001,263,269.85,262.1,268.4,8543
9/5/2001,265.05,266.7,261.5,263.3,3538
9/6/2001,273.95,273.95,263.75,266.75,4864
9/7/2001,267,270.95,264,264.35,4165
9/10/2001,264.05,275.45,264,273.85,5593
9/11/2001,269.05,277.45,269.05,273.95,11295
9/12/2001,250,272,250,268.15,7887
9/13/2001,267,271.9,267,270.1,23775
9/14/2001,263.2,272,263.2,265.05,22628
9/17/2001,256.3,264.9,245.25,255.1,130147
9/18/2001,264.75,264.75,245,258,21182
9/19/2001,251.45,258,251,253.2,16041
9/20/2001,258.95,259.9,255,255.6,7454
9/21/2001,240,264.95,240,255.95,7114
9/24/2001,256,268.75,255,263.4,6155
9/25/2001,257.1,278,255,263.55,9589
9/26/2001,269,270,256.75,267.85,85532
9/27/2001,258.25,276,258.25,272.85,14116
9/28/2001,274.4,276,266,271.5,22554
10/1/2001,267.05,271.5,264,264.9,4157
10/3/2001,253,267.2,253,264,1759
10/4/2001,265.15,266.5,265,265,2371
10/5/2001,267,267.2,263,264.3,3200
10/8/2001,266.6,266.95,260.5,261.95,2136
10/9/2001,264,267.9,260.35,267.15,3338
10/10/2001,264.05,271,264.05,270,237475
10/11/2001,263.55,271,263.55,268.45,3073
10/12/2001,270.9,271,255,263.5,7861
10/15/2001,263.8,264.9,260,262.3,3258
10/16/2001,261.4,262.75,259,260.45,3837
10/17/2001,258.2,262.85,258.2,261.55,5688
10/18/2001,256.75,264.5,256.75,261,2333
10/19/2001,260.3,266,260.1,262.15,26471
10/22/2001,261.45,264,261.45,263.1,1990
10/23/2001,265,267.6,262,264.15,5547
10/24/2001,265.35,276,264,274.95,40914
10/25/2001,279.4,279.4,274,274.9,23014
10/29/2001,278.95,278.95,266.1,270.85,8096
10/30/2001,268.25,270.1,268,268.25,6480
10/31/2001,268.95,270,265,269.35,9899
11/1/2001,266.3,273,266.3,270.05,21936
11/2/2001,272.3,274,270.7,272.05,9773
11/5/2001,271,272.8,269.5,270.45,9016
11/6/2001,271.9,272,270,270.6,7942
11/7/2001,270.05,271.75,270,270.5,5166
11/8/2001,277,277,270,274.6,3632
11/9/2001,275,275,270.25,271.3,6995
11/12/2001,273,273,270,271.85,3333
11/13/2001,270.1,275.4,270,275.35,64532
11/14/2001,279.5,279.5,276,278.2,2135
11/15/2001,279,279.5,272.55,274.75,4171
11/19/2001,278.75,278.75,271.55,273.1,3973
11/20/2001,274,276.75,270,271,13983
11/21/2001,274,276.75,270.55,275.4,15887
11/22/2001,275,277,274,275.1,11867
11/23/2001,275.05,276.5,273.4,275.25,9756
11/26/2001,278.95,292,278,280.55,22277
11/27/2001,282,285,275,276.9,5738
11/28/2001,283,283,270.05,273.15,3846
11/29/2001,272,276,272,273.4,25458
12/3/2001,277.85,277.85,270.25,271.65,2743
12/4/2001,274.75,276,272,275.15,5500
12/5/2001,274.05,277.85,272,275.95,18648
12/6/2001,278.95,278.95,272.5,276,7578
12/7/2001,280.5,280.5,275,275.1,9149
12/10/2001,275,280,273.1,276.5,4170
12/11/2001,278,281,275.2,280.55,16209
12/12/2001,277.6,281.6,277.55,281.15,39053
12/13/2001,277.55,284,276,280.85,26473
12/14/2001,281,282,278.05,280.05,11304
12/18/2001,299,299,271,277.2,4882
12/19/2001,273.45,278.65,271.2,272,1287
12/20/2001,266,275,266,274.15,2249
12/21/2001,275,275,267.45,269.75,3042
12/24/2001,251.2,272,251.2,271.7,3648
12/26/2001,272,275,268.3,270.6,2129
12/27/2001,271,274.9,268.1,269.4,4071
12/28/2001,272,272,265,266.3,8003
12/31/2001,272.65,274.95,262,273.95,4832
1/1/2002,264.55,272.45,264.05,265.6,2571